         445153 function calls (440351 primitive calls) in 3.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      144    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      196    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      308    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       38    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:801(__init__)
      303    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      148    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:173(append)
      281    0.000    0.000    0.000    0.000 /usr/lib/python3.10/dataclasses.py:424(<genexpr>)
       74    0.000    0.000    0.005    0.000 /usr/lib/python3.10/abc.py:105(__new__)
      109    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       35    0.000    0.000    0.008    0.000 /usr/lib/python3.10/typing.py:1138(__getitem__)
      159    0.000    0.000    0.004    0.000 /usr/lib/python3.10/typing.py:515(<genexpr>)
       74    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
    116/4    0.000    0.000    0.219    0.055 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     15/8    0.000    0.000    0.003    0.000 /usr/lib/python3.10/inspect.py:2375(_signature_from_callable)
      182    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
   102/99    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       51    0.000    0.000    0.001    0.000 /usr/lib/python3.10/email/message.py:393(__setitem__)
        2    0.000    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_models.py:237(<listcomp>)
      128    0.000    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_models.py:166(encoding)
      115    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
       76    0.000    0.000    0.001    0.000 /usr/lib/python3.10/signal.py:9(<lambda>)
