         445860 function calls (441040 primitive calls) in 3.276 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      230    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      221    0.001    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:161(__len__)
      211    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      204    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      203    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:391(cached)
      202    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      202    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      201    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      199    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      196    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
    190/4    0.009    0.000    0.218    0.055 {built-in method builtins.exec}
      182    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      180    0.001    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:287(tell)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      160    0.005    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      159    0.000    0.000    0.004    0.000 /usr/lib/python3.10/typing.py:515(<genexpr>)
      158    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      154    0.001    0.000    0.002    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      154    0.002    0.000    0.010    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/typing_extensions.py:2989(_collect_type_vars)
      151    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      148    0.001    0.000    0.007    0.000 /usr/lib/python3.10/typing.py:947(__init__)
      148    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:173(append)
      144    0.003    0.000    0.024    0.000 /usr/lib/python3.10/typing.py:1016(__init__)
      144    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      135    0.002    0.000    0.003    0.000 /usr/lib/python3.10/dataclasses.py:663(_is_type)
      128    0.000    0.000    0.000    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpx/_models.py:166(encoding)
      127    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      127    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      127    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      124    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      120    0.001    0.000    0.008    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:241(handle_comment)
      120    0.001    0.000    0.009    0.000 /usr/lib/python3.10/_markupbase.py:165(parse_comment)
   120/45    0.001    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:175(getwidth)
      118    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
    116/4    0.000    0.000    0.218    0.055 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      116    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      115    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      115    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:169(__enter__)
      115    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
